Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
10,Line,wedge,0,10,0.4941,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,1,10,0.394196,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,2,10,0.526066,Partial Breach (5 escaped, 5 captured)
10,Line,wedge,3,10,0.469301,Partial Breach (6 escaped, 4 captured)
10,Line,wedge,4,10,0.443534,Partial Breach (7 escaped, 3 captured)
10,Line,wedge,5,10,0.451781,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,6,10,0.492979,Partial Breach (7 escaped, 3 captured)
10,Line,wedge,7,10,0.346802,Escapers Victory (All 10 breached)
10,Line,wedge,8,10,0.36201,Partial Breach (9 escaped, 1 captured)
10,Line,wedge,9,10,0.461973,Partial Breach (7 escaped, 3 captured)
10,Line,wedge,10,10,0.380543,Partial Breach (7 escaped, 3 captured)
10,Line,wedge,11,10,0.485717,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,12,10,0.384235,Escapers Victory (All 10 breached)
10,Line,wedge,13,10,0.433386,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,14,10,0.491718,Partial Breach (6 escaped, 4 captured)
10,Line,wedge,15,10,0.379272,Partial Breach (7 escaped, 3 captured)
10,Line,wedge,16,10,0.565353,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,17,10,0.451529,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,18,10,0.495066,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,19,10,0.449463,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,20,10,0.394314,Partial Breach (9 escaped, 1 captured)
10,Line,wedge,21,10,0.565026,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,22,10,0.307002,Partial Breach (8 escaped, 2 captured)
10,Line,wedge,23,10,0.436017,Partial Breach (7 escaped, 3 captured)
10,Line,wedge,24,10,0.386284,Partial Breach (7 escaped, 3 captured)
10,Line,swarm,25,10,0.603319,Partial Breach (6 escaped, 4 captured)
10,Line,swarm,26,10,0.550238,Partial Breach (5 escaped, 5 captured)
10,Line,swarm,27,10,0.421876,Partial Breach (6 escaped, 4 captured)
10,Line,swarm,28,10,0.487622,Partial Breach (8 escaped, 2 captured)
10,Line,swarm,29,10,0.250758,Escapers Victory (All 10 breached)
10,Line,swarm,30,10,0.33836,Partial Breach (9 escaped, 1 captured)
10,Line,swarm,31,10,0.218825,Escapers Victory (All 10 breached)
10,Line,swarm,32,10,0.611808,Partial Breach (7 escaped, 3 captured)
10,Line,swarm,33,10,0.343253,Partial Breach (9 escaped, 1 captured)
10,Line,swarm,34,10,0.146218,Partial Breach (9 escaped, 1 captured)
10,Line,swarm,35,10,0.178251,Partial Breach (8 escaped, 2 captured)
10,Line,swarm,36,10,0.536843,Partial Breach (6 escaped, 4 captured)
10,Line,swarm,37,10,0.517647,Partial Breach (6 escaped, 4 captured)
10,Line,swarm,38,10,0.532372,Partial Breach (6 escaped, 4 captured)
10,Line,swarm,39,10,0.610794,Partial Breach (7 escaped, 3 captured)
10,Line,swarm,40,10,0.569289,Partial Breach (5 escaped, 5 captured)
10,Line,swarm,41,10,0.338301,Escapers Victory (All 10 breached)
10,Line,swarm,42,10,0.459453,Partial Breach (7 escaped, 3 captured)
10,Line,swarm,43,10,0.177285,Partial Breach (9 escaped, 1 captured)
10,Line,swarm,44,10,0.578413,Partial Breach (4 escaped, 6 captured)
10,Line,swarm,45,10,0.5225,Partial Breach (8 escaped, 2 captured)
10,Line,swarm,46,10,0.497305,Partial Breach (4 escaped, 6 captured)
10,Line,swarm,47,10,0.531636,Partial Breach (8 escaped, 2 captured)
10,Line,swarm,48,10,0.482358,Partial Breach (6 escaped, 4 captured)
10,Line,swarm,49,10,0.142799,Partial Breach (9 escaped, 1 captured)
10,Line,stairs,50,10,0.420834,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,51,10,0.398237,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,52,10,0.436399,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,53,10,0.403456,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,54,10,0.490778,Partial Breach (9 escaped, 1 captured)
10,Line,stairs,55,10,0.408208,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,56,10,0.375331,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,57,10,0.395524,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,58,10,0.371839,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,59,10,0.399994,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,60,10,0.338128,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,61,10,0.305313,Partial Breach (6 escaped, 4 captured)
10,Line,stairs,62,10,0.400643,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,63,10,0.398078,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,64,10,0.425342,Partial Breach (9 escaped, 1 captured)
10,Line,stairs,65,10,0.388562,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,66,10,0.411441,Partial Breach (9 escaped, 1 captured)
10,Line,stairs,67,10,0.341582,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,68,10,0.427057,Partial Breach (8 escaped, 2 captured)
10,Line,stairs,69,10,0.349104,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,70,10,0.375279,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,71,10,0.42753,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,72,10,0.407511,Partial Breach (9 escaped, 1 captured)
10,Line,stairs,73,10,0.333252,Partial Breach (7 escaped, 3 captured)
10,Line,stairs,74,10,0.351894,Partial Breach (8 escaped, 2 captured)
10,Line,random,75,10,0.377254,Partial Breach (6 escaped, 4 captured)
10,Line,random,76,10,0.303525,Partial Breach (8 escaped, 2 captured)
10,Line,random,77,10,0.370082,Partial Breach (7 escaped, 3 captured)
10,Line,random,78,10,0.324321,Partial Breach (9 escaped, 1 captured)
10,Line,random,79,10,0.369283,Partial Breach (9 escaped, 1 captured)
10,Line,random,80,10,0.319487,Partial Breach (8 escaped, 2 captured)
10,Line,random,81,10,0.487195,Partial Breach (7 escaped, 3 captured)
10,Line,random,82,10,0.382732,Partial Breach (4 escaped, 6 captured)
10,Line,random,83,10,0.425486,Partial Breach (6 escaped, 4 captured)
10,Line,random,84,10,0.491079,Partial Breach (7 escaped, 3 captured)
10,Line,random,85,10,0.356388,Partial Breach (5 escaped, 5 captured)
10,Line,random,86,10,0.307583,Partial Breach (9 escaped, 1 captured)
10,Line,random,87,10,0.381135,Partial Breach (5 escaped, 5 captured)
10,Line,random,88,10,0.367114,Partial Breach (6 escaped, 4 captured)
10,Line,random,89,10,0.443204,Partial Breach (6 escaped, 4 captured)
10,Line,random,90,10,0.418979,Partial Breach (7 escaped, 3 captured)
10,Line,random,91,10,0.354591,Partial Breach (5 escaped, 5 captured)
10,Line,random,92,10,0.418165,Partial Breach (6 escaped, 4 captured)
10,Line,random,93,10,0.461256,Partial Breach (7 escaped, 3 captured)
10,Line,random,94,10,0.37737,Partial Breach (6 escaped, 4 captured)
10,Line,random,95,10,0.402778,Partial Breach (4 escaped, 6 captured)
10,Line,random,96,10,0.428605,Partial Breach (6 escaped, 4 captured)
10,Line,random,97,10,0.374749,Partial Breach (5 escaped, 5 captured)
10,Line,random,98,10,0.302419,Partial Breach (8 escaped, 2 captured)
10,Line,random,99,10,0.321862,Partial Breach (4 escaped, 6 captured)
10,Chess,wedge,0,10,0.531438,Partial Breach (9 escaped, 1 captured)
10,Chess,wedge,1,10,0.452247,Partial Breach (9 escaped, 1 captured)
10,Chess,wedge,2,10,0.506108,Partial Breach (6 escaped, 4 captured)
10,Chess,wedge,3,10,0.491754,Partial Breach (7 escaped, 3 captured)
10,Chess,wedge,4,10,0.479933,Partial Breach (9 escaped, 1 captured)
10,Chess,wedge,5,10,0.446075,Partial Breach (8 escaped, 2 captured)
10,Chess,wedge,6,10,0.563693,Partial Breach (7 escaped, 3 captured)
10,Chess,wedge,7,10,0.365997,Partial Breach (7 escaped, 3 captured)
10,Chess,wedge,8,10,0.358839,Partial Breach (9 escaped, 1 captured)
10,Chess,wedge,9,10,0.494251,Partial Breach (6 escaped, 4 captured)
10,Chess,wedge,10,10,0.355987,Partial Breach (6 escaped, 4 captured)
10,Chess,wedge,11,10,0.451968,Partial Breach (7 escaped, 3 captured)
10,Chess,wedge,12,10,0.388813,Partial Breach (7 escaped, 3 captured)
