Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
14,Chess,wedge,8,10,0.445837,Partial Breach (9 escaped, 1 captured)
14,Chess,wedge,9,10,0.621609,Partial Breach (7 escaped, 3 captured)
14,Chess,wedge,10,10,0.384601,Partial Breach (5 escaped, 5 captured)
14,Chess,wedge,11,10,0.473906,Partial Breach (8 escaped, 2 captured)
14,Chess,wedge,12,10,0.431379,Partial Breach (7 escaped, 3 captured)
14,Chess,wedge,13,10,0.492822,Partial Breach (7 escaped, 3 captured)
14,Chess,wedge,14,10,0.599731,Partial Breach (5 escaped, 5 captured)
14,Chess,wedge,15,10,0.455175,Partial Breach (6 escaped, 4 captured)
14,Chess,wedge,16,10,0.669665,Partial Breach (7 escaped, 3 captured)
14,Chess,wedge,17,10,0.465834,Partial Breach (8 escaped, 2 captured)
14,Chess,wedge,18,10,0.515295,Partial Breach (8 escaped, 2 captured)
14,Chess,wedge,19,10,0.539508,Partial Breach (7 escaped, 3 captured)
14,Chess,wedge,20,10,0.438401,Partial Breach (9 escaped, 1 captured)
14,Chess,wedge,21,10,0.677349,Partial Breach (5 escaped, 5 captured)
14,Chess,wedge,22,10,0.371614,Escapers Victory (All 10 breached)
14,Chess,wedge,23,10,0.469242,Partial Breach (8 escaped, 2 captured)
14,Chess,wedge,24,10,0.4788,Partial Breach (8 escaped, 2 captured)
14,Chess,swarm,25,10,0.722458,Partial Breach (3 escaped, 7 captured)
14,Chess,swarm,26,10,0.579438,Partial Breach (3 escaped, 7 captured)
14,Chess,swarm,27,10,0.46549,Partial Breach (5 escaped, 5 captured)
14,Chess,swarm,28,10,0.545195,Partial Breach (7 escaped, 3 captured)
14,Chess,swarm,29,10,0.292698,Partial Breach (9 escaped, 1 captured)
14,Chess,swarm,30,10,0.424213,Partial Breach (9 escaped, 1 captured)
14,Chess,swarm,31,10,0.227839,Partial Breach (9 escaped, 1 captured)
14,Chess,swarm,32,10,0.651842,Partial Breach (2 escaped, 8 captured)
14,Chess,swarm,33,10,0.404035,Partial Breach (8 escaped, 2 captured)
14,Chess,swarm,34,10,0.153323,Escapers Victory (All 10 breached)
14,Chess,swarm,35,10,0.240526,Partial Breach (9 escaped, 1 captured)
14,Chess,swarm,36,10,0.517907,Partial Breach (3 escaped, 7 captured)
14,Chess,swarm,37,10,0.55879,Partial Breach (5 escaped, 5 captured)
14,Chess,swarm,38,10,0.524941,Partial Breach (5 escaped, 5 captured)
14,Chess,swarm,39,10,0.721035,Partial Breach (8 escaped, 2 captured)
14,Chess,swarm,40,10,0.535339,Partial Breach (3 escaped, 7 captured)
14,Chess,swarm,41,10,0.346244,Partial Breach (5 escaped, 5 captured)
14,Chess,swarm,42,10,0.569481,Partial Breach (5 escaped, 5 captured)
14,Chess,swarm,43,10,0.185582,Escapers Victory (All 10 breached)
14,Chess,swarm,44,10,0.646951,Partial Breach (6 escaped, 4 captured)
14,Chess,swarm,45,10,0.557946,Partial Breach (4 escaped, 6 captured)
14,Chess,swarm,46,10,0.508623,Partial Breach (4 escaped, 6 captured)
14,Chess,swarm,47,10,0.527631,Partial Breach (3 escaped, 7 captured)
14,Chess,swarm,48,10,0.514016,Partial Breach (4 escaped, 6 captured)
14,Chess,swarm,49,10,0.160173,Partial Breach (9 escaped, 1 captured)
14,Chess,stairs,50,10,0.445762,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,51,10,0.420769,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,52,10,0.526333,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,53,10,0.484212,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,54,10,0.422242,Partial Breach (5 escaped, 5 captured)
14,Chess,stairs,55,10,0.40044,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,56,10,0.470392,Partial Breach (8 escaped, 2 captured)
14,Chess,stairs,57,10,0.511871,Partial Breach (9 escaped, 1 captured)
14,Chess,stairs,58,10,0.437893,Partial Breach (6 escaped, 4 captured)
14,Chess,stairs,59,10,0.366394,Partial Breach (5 escaped, 5 captured)
14,Chess,stairs,60,10,0.437914,Partial Breach (8 escaped, 2 captured)
14,Chess,stairs,61,10,0.419249,Partial Breach (8 escaped, 2 captured)
14,Chess,stairs,62,10,0.442495,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,63,10,0.372253,Partial Breach (5 escaped, 5 captured)
14,Chess,stairs,64,10,0.444238,Partial Breach (6 escaped, 4 captured)
14,Chess,stairs,65,10,0.462817,Partial Breach (8 escaped, 2 captured)
14,Chess,stairs,66,10,0.44043,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,67,10,0.400257,Partial Breach (8 escaped, 2 captured)
14,Chess,stairs,68,10,0.500791,Partial Breach (9 escaped, 1 captured)
14,Chess,stairs,69,10,0.368161,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,70,10,0.435198,Partial Breach (7 escaped, 3 captured)
14,Chess,stairs,71,10,0.466093,Partial Breach (6 escaped, 4 captured)
14,Chess,stairs,72,10,0.465068,Partial Breach (8 escaped, 2 captured)
14,Chess,stairs,73,10,0.369043,Partial Breach (6 escaped, 4 captured)
14,Chess,stairs,74,10,0.30803,Partial Breach (5 escaped, 5 captured)
14,Chess,random,75,10,0.411864,Partial Breach (5 escaped, 5 captured)
14,Chess,random,76,10,0.312801,Partial Breach (6 escaped, 4 captured)
14,Chess,random,77,10,0.429708,Partial Breach (7 escaped, 3 captured)
14,Chess,random,78,10,0.393527,Partial Breach (9 escaped, 1 captured)
14,Chess,random,79,10,0.394297,Partial Breach (7 escaped, 3 captured)
14,Chess,random,80,10,0.298434,Partial Breach (6 escaped, 4 captured)
14,Chess,random,81,10,0.505819,Partial Breach (6 escaped, 4 captured)
14,Chess,random,82,10,0.490062,Partial Breach (5 escaped, 5 captured)
14,Chess,random,83,10,0.466077,Partial Breach (6 escaped, 4 captured)
14,Chess,random,84,10,0.570167,Partial Breach (6 escaped, 4 captured)
14,Chess,random,85,10,0.438963,Partial Breach (4 escaped, 6 captured)
14,Chess,random,86,10,0.321588,Partial Breach (8 escaped, 2 captured)
14,Chess,random,87,10,0.420872,Partial Breach (5 escaped, 5 captured)
14,Chess,random,88,10,0.376112,Partial Breach (6 escaped, 4 captured)
14,Chess,random,89,10,0.412994,Partial Breach (5 escaped, 5 captured)
14,Chess,random,90,10,0.438408,Partial Breach (4 escaped, 6 captured)
14,Chess,random,91,10,0.470475,Partial Breach (7 escaped, 3 captured)
14,Chess,random,92,10,0.434166,Partial Breach (6 escaped, 4 captured)
14,Chess,random,93,10,0.449534,Partial Breach (7 escaped, 3 captured)
14,Chess,random,94,10,0.444429,Partial Breach (5 escaped, 5 captured)
14,Chess,random,95,10,0.513184,Partial Breach (7 escaped, 3 captured)
14,Chess,random,96,10,0.504302,Partial Breach (7 escaped, 3 captured)
14,Chess,random,97,10,0.420544,Partial Breach (9 escaped, 1 captured)
14,Chess,random,98,10,0.33545,Partial Breach (7 escaped, 3 captured)
14,Chess,random,99,10,0.404535,Partial Breach (5 escaped, 5 captured)
14,Arc,wedge,0,10,0.678008,Partial Breach (9 escaped, 1 captured)
14,Arc,wedge,1,10,0.492995,Partial Breach (6 escaped, 4 captured)
14,Arc,wedge,2,10,0.605403,Partial Breach (7 escaped, 3 captured)
14,Arc,wedge,3,10,0.595949,Escapers Victory (All 10 breached)
14,Arc,wedge,4,10,0.500306,Partial Breach (6 escaped, 4 captured)
14,Arc,wedge,5,10,0.401653,Partial Breach (5 escaped, 5 captured)
14,Arc,wedge,6,10,0.636173,Partial Breach (8 escaped, 2 captured)
14,Arc,wedge,7,10,0.380754,Partial Breach (7 escaped, 3 captured)
14,Arc,wedge,8,10,0.458659,Partial Breach (8 escaped, 2 captured)
14,Arc,wedge,9,10,0.543994,Partial Breach (6 escaped, 4 captured)
14,Arc,wedge,10,10,0.490251,Partial Breach (9 escaped, 1 captured)
14,Arc,wedge,11,10,0.477202,Partial Breach (5 escaped, 5 captured)
14,Arc,wedge,12,10,0.3759,Partial Breach (7 escaped, 3 captured)
14,Arc,wedge,13,10,0.525836,Partial Breach (9 escaped, 1 captured)
14,Arc,wedge,14,10,0.674918,Partial Breach (7 escaped, 3 captured)
14,Arc,wedge,15,10,0.512667,Partial Breach (9 escaped, 1 captured)
14,Arc,wedge,16,10,0.612036,Partial Breach (6 escaped, 4 captured)
14,Arc,wedge,17,10,0.484014,Partial Breach (6 escaped, 4 captured)
14,Arc,wedge,18,10,0.511735,Partial Breach (5 escaped, 5 captured)
14,Arc,wedge,19,10,0.528362,Partial Breach (7 escaped, 3 captured)
14,Arc,wedge,20,10,0.433139,Partial Breach (8 escaped, 2 captured)
14,Arc,wedge,21,10,0.673211,Partial Breach (6 escaped, 4 captured)
14,Arc,wedge,22,10,0.37073,Partial Breach (8 escaped, 2 captured)
14,Arc,wedge,23,10,0.487604,Partial Breach (9 escaped, 1 captured)
14,Arc,wedge,24,10,0.46977,Partial Breach (9 escaped, 1 captured)
14,Arc,swarm,25,10,0.691896,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,26,10,0.631026,Partial Breach (7 escaped, 3 captured)
14,Arc,swarm,27,10,0.563768,Partial Breach (6 escaped, 4 captured)
14,Arc,swarm,28,10,0.580255,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,29,10,0.282188,Partial Breach (7 escaped, 3 captured)
14,Arc,swarm,30,10,0.396335,Escapers Victory (All 10 breached)
14,Arc,swarm,31,10,0.234781,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,32,10,0.721092,Partial Breach (6 escaped, 4 captured)
14,Arc,swarm,33,10,0.458674,Partial Breach (9 escaped, 1 captured)
14,Arc,swarm,34,10,0.154424,Escapers Victory (All 10 breached)
14,Arc,swarm,35,10,0.211728,Escapers Victory (All 10 breached)
14,Arc,swarm,36,10,0.663209,Partial Breach (5 escaped, 5 captured)
14,Arc,swarm,37,10,0.538565,Partial Breach (6 escaped, 4 captured)
14,Arc,swarm,38,10,0.624835,Escapers Victory (All 10 breached)
14,Arc,swarm,39,10,0.666225,Partial Breach (7 escaped, 3 captured)
14,Arc,swarm,40,10,0.719439,Partial Breach (7 escaped, 3 captured)
14,Arc,swarm,41,10,0.379548,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,42,10,0.573921,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,43,10,0.209333,Escapers Victory (All 10 breached)
14,Arc,swarm,44,10,0.684559,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,45,10,0.62629,Partial Breach (9 escaped, 1 captured)
14,Arc,swarm,46,10,0.609887,Partial Breach (9 escaped, 1 captured)
14,Arc,swarm,47,10,0.555408,Partial Breach (4 escaped, 6 captured)
14,Arc,swarm,48,10,0.570244,Partial Breach (8 escaped, 2 captured)
14,Arc,swarm,49,10,0.181213,Escapers Victory (All 10 breached)
14,Arc,stairs,50,10,0.491437,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,51,10,0.50089,Partial Breach (8 escaped, 2 captured)
14,Arc,stairs,52,10,0.462075,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,53,10,0.38956,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,54,10,0.459566,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,55,10,0.429938,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,56,10,0.423601,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,57,10,0.453372,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,58,10,0.501492,Partial Breach (9 escaped, 1 captured)
14,Arc,stairs,59,10,0.406131,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,60,10,0.426245,Partial Breach (9 escaped, 1 captured)
14,Arc,stairs,61,10,0.359605,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,62,10,0.397079,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,63,10,0.438517,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,64,10,0.367904,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,65,10,0.461327,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,66,10,0.407956,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,67,10,0.439296,Partial Breach (8 escaped, 2 captured)
14,Arc,stairs,68,10,0.472848,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,69,10,0.425421,Partial Breach (6 escaped, 4 captured)
14,Arc,stairs,70,10,0.433751,Partial Breach (8 escaped, 2 captured)
14,Arc,stairs,71,10,0.516108,Partial Breach (8 escaped, 2 captured)
14,Arc,stairs,72,10,0.444702,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,73,10,0.413117,Partial Breach (7 escaped, 3 captured)
14,Arc,stairs,74,10,0.365271,Partial Breach (5 escaped, 5 captured)
14,Arc,random,75,10,0.391725,Partial Breach (6 escaped, 4 captured)
14,Arc,random,76,10,0.310447,Partial Breach (7 escaped, 3 captured)
14,Arc,random,77,10,0.455272,Partial Breach (8 escaped, 2 captured)
14,Arc,random,78,10,0.263643,Partial Breach (6 escaped, 4 captured)
14,Arc,random,79,10,0.348294,Partial Breach (6 escaped, 4 captured)
14,Arc,random,80,10,0.377642,Partial Breach (7 escaped, 3 captured)
14,Arc,random,81,10,0.4994,Partial Breach (4 escaped, 6 captured)
14,Arc,random,82,10,0.553204,Partial Breach (9 escaped, 1 captured)
14,Arc,random,83,10,0.449439,Partial Breach (5 escaped, 5 captured)
14,Arc,random,84,10,0.575354,Partial Breach (6 escaped, 4 captured)
14,Arc,random,85,10,0.409713,Partial Breach (4 escaped, 6 captured)
14,Arc,random,86,10,0.333972,Partial Breach (8 escaped, 2 captured)
14,Arc,random,87,10,0.335908,Partial Breach (5 escaped, 5 captured)
14,Arc,random,88,10,0.423692,Partial Breach (8 escaped, 2 captured)
14,Arc,random,89,10,0.514838,Partial Breach (8 escaped, 2 captured)
14,Arc,random,90,10,0.49246,Partial Breach (7 escaped, 3 captured)
14,Arc,random,91,10,0.454719,Partial Breach (6 escaped, 4 captured)
14,Arc,random,92,10,0.431036,Partial Breach (6 escaped, 4 captured)
14,Arc,random,93,10,0.424659,Partial Breach (7 escaped, 3 captured)
14,Arc,random,94,10,0.469899,Partial Breach (8 escaped, 2 captured)
14,Arc,random,95,10,0.52057,Partial Breach (7 escaped, 3 captured)
14,Arc,random,96,10,0.49781,Partial Breach (7 escaped, 3 captured)
14,Arc,random,97,10,0.362516,Partial Breach (5 escaped, 5 captured)
14,Arc,random,98,10,0.356632,Partial Breach (7 escaped, 3 captured)
14,Arc,random,99,10,0.455825,Partial Breach (6 escaped, 4 captured)
15,Line,wedge,0,10,0.546496,Partial Breach (4 escaped, 6 captured)
15,Line,wedge,1,10,0.518923,Partial Breach (6 escaped, 4 captured)
15,Line,wedge,2,10,0.644597,Partial Breach (8 escaped, 2 captured)
15,Line,wedge,3,10,0.582206,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,4,10,0.543095,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,5,10,0.493034,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,6,10,0.565143,Partial Breach (5 escaped, 5 captured)
15,Line,wedge,7,10,0.396381,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,8,10,0.397486,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,9,10,0.521604,Partial Breach (4 escaped, 6 captured)
15,Line,wedge,10,10,0.505434,Partial Breach (9 escaped, 1 captured)
15,Line,wedge,11,10,0.500601,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,12,10,0.398653,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,13,10,0.513861,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,14,10,0.66315,Partial Breach (6 escaped, 4 captured)
15,Line,wedge,15,10,0.445047,Partial Breach (8 escaped, 2 captured)
15,Line,wedge,16,10,0.605529,Partial Breach (8 escaped, 2 captured)
15,Line,wedge,17,10,0.445134,Partial Breach (8 escaped, 2 captured)
15,Line,wedge,18,10,0.463575,Partial Breach (6 escaped, 4 captured)
15,Line,wedge,19,10,0.51648,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,20,10,0.453307,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,21,10,0.723598,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,22,10,0.386678,Partial Breach (9 escaped, 1 captured)
15,Line,wedge,23,10,0.480033,Partial Breach (7 escaped, 3 captured)
15,Line,wedge,24,10,0.436983,Partial Breach (7 escaped, 3 captured)
15,Line,swarm,25,10,0.653319,Partial Breach (6 escaped, 4 captured)
15,Line,swarm,26,10,0.60474,Partial Breach (5 escaped, 5 captured)
15,Line,swarm,27,10,0.552302,Partial Breach (7 escaped, 3 captured)
15,Line,swarm,28,10,0.592778,Partial Breach (7 escaped, 3 captured)
15,Line,swarm,29,10,0.272042,Partial Breach (8 escaped, 2 captured)
15,Line,swarm,30,10,0.379814,Partial Breach (6 escaped, 4 captured)
15,Line,swarm,31,10,0.233842,Escapers Victory (All 10 breached)
15,Line,swarm,32,10,0.701124,Partial Breach (7 escaped, 3 captured)
15,Line,swarm,33,10,0.37042,Partial Breach (6 escaped, 4 captured)
15,Line,swarm,34,10,0.16911,Escapers Victory (All 10 breached)
15,Line,swarm,35,10,0.222076,Partial Breach (9 escaped, 1 captured)
15,Line,swarm,36,10,0.565782,Partial Breach (3 escaped, 7 captured)
15,Line,swarm,37,10,0.548156,Partial Breach (3 escaped, 7 captured)
15,Line,swarm,38,10,0.61416,Partial Breach (2 escaped, 8 captured)
15,Line,swarm,39,10,0.658143,Partial Breach (7 escaped, 3 captured)
15,Line,swarm,40,10,0.638706,Partial Breach (4 escaped, 6 captured)
15,Line,swarm,41,10,0.34986,Partial Breach (6 escaped, 4 captured)
15,Line,swarm,42,10,0.515866,Partial Breach (5 escaped, 5 captured)
15,Line,swarm,43,10,0.206472,Partial Breach (9 escaped, 1 captured)
15,Line,swarm,44,10,0.66838,Partial Breach (6 escaped, 4 captured)
15,Line,swarm,45,10,0.624788,Partial Breach (9 escaped, 1 captured)
15,Line,swarm,46,10,0.63592,Partial Breach (7 escaped, 3 captured)
15,Line,swarm,47,10,0.596974,Partial Breach (6 escaped, 4 captured)
15,Line,swarm,48,10,0.519118,Partial Breach (4 escaped, 6 captured)
15,Line,swarm,49,10,0.17434,Partial Breach (8 escaped, 2 captured)
15,Line,stairs,50,10,0.500931,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,51,10,0.420558,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,52,10,0.487299,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,53,10,0.42677,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,54,10,0.446917,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,55,10,0.477293,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,56,10,0.401674,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,57,10,0.455272,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,58,10,0.469772,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,59,10,0.406188,Partial Breach (5 escaped, 5 captured)
15,Line,stairs,60,10,0.352229,Partial Breach (5 escaped, 5 captured)
15,Line,stairs,61,10,0.420808,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,62,10,0.471027,Partial Breach (8 escaped, 2 captured)
15,Line,stairs,63,10,0.364628,Partial Breach (4 escaped, 6 captured)
15,Line,stairs,64,10,0.411374,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,65,10,0.484274,Partial Breach (8 escaped, 2 captured)
15,Line,stairs,66,10,0.465099,Partial Breach (8 escaped, 2 captured)
15,Line,stairs,67,10,0.460682,Partial Breach (8 escaped, 2 captured)
15,Line,stairs,68,10,0.44798,Partial Breach (5 escaped, 5 captured)
15,Line,stairs,69,10,0.403623,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,70,10,0.340083,Partial Breach (5 escaped, 5 captured)
15,Line,stairs,71,10,0.466443,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,72,10,0.392328,Partial Breach (7 escaped, 3 captured)
15,Line,stairs,73,10,0.358507,Partial Breach (6 escaped, 4 captured)
15,Line,stairs,74,10,0.418002,Partial Breach (6 escaped, 4 captured)
15,Line,random,75,10,0.341255,Partial Breach (5 escaped, 5 captured)
15,Line,random,76,10,0.341414,Partial Breach (7 escaped, 3 captured)
15,Line,random,77,10,0.449892,Partial Breach (5 escaped, 5 captured)
15,Line,random,78,10,0.359473,Partial Breach (7 escaped, 3 captured)
15,Line,random,79,10,0.407219,Partial Breach (7 escaped, 3 captured)
15,Line,random,80,10,0.325936,Partial Breach (3 escaped, 7 captured)
15,Line,random,81,10,0.555499,Partial Breach (6 escaped, 4 captured)
15,Line,random,82,10,0.450411,Partial Breach (4 escaped, 6 captured)
15,Line,random,83,10,0.428007,Partial Breach (5 escaped, 5 captured)
15,Line,random,84,10,0.538677,Partial Breach (3 escaped, 7 captured)
15,Line,random,85,10,0.415575,Partial Breach (5 escaped, 5 captured)
15,Line,random,86,10,0.348289,Partial Breach (9 escaped, 1 captured)
15,Line,random,87,10,0.490182,Partial Breach (5 escaped, 5 captured)
15,Line,random,88,10,0.466983,Partial Breach (5 escaped, 5 captured)
15,Line,random,89,10,0.477438,Partial Breach (6 escaped, 4 captured)
15,Line,random,90,10,0.459099,Partial Breach (4 escaped, 6 captured)
15,Line,random,91,10,0.383775,Partial Breach (7 escaped, 3 captured)
15,Line,random,92,10,0.495696,Partial Breach (7 escaped, 3 captured)
15,Line,random,93,10,0.44807,Partial Breach (7 escaped, 3 captured)
15,Line,random,94,10,0.440323,Partial Breach (4 escaped, 6 captured)
15,Line,random,95,10,0.499852,Partial Breach (5 escaped, 5 captured)
15,Line,random,96,10,0.540916,Partial Breach (4 escaped, 6 captured)
15,Line,random,97,10,0.378029,Partial Breach (5 escaped, 5 captured)
15,Line,random,98,10,0.264936,Partial Breach (9 escaped, 1 captured)
15,Line,random,99,10,0.446637,Partial Breach (6 escaped, 4 captured)
15,Chess,wedge,0,10,0.598984,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,1,10,0.517377,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,2,10,0.663262,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,3,10,0.55419,Partial Breach (6 escaped, 4 captured)
15,Chess,wedge,4,10,0.560972,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,5,10,0.509277,Partial Breach (9 escaped, 1 captured)
15,Chess,wedge,6,10,0.640363,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,7,10,0.403441,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,8,10,0.462643,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,9,10,0.575616,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,10,10,0.499,Partial Breach (6 escaped, 4 captured)
15,Chess,wedge,11,10,0.523456,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,12,10,0.447027,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,13,10,0.531807,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,14,10,0.649607,Partial Breach (9 escaped, 1 captured)
15,Chess,wedge,15,10,0.443366,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,16,10,0.639281,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,17,10,0.473599,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,18,10,0.551194,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,19,10,0.550525,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,20,10,0.44678,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,21,10,0.677174,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,22,10,0.37855,Partial Breach (8 escaped, 2 captured)
15,Chess,wedge,23,10,0.442234,Partial Breach (7 escaped, 3 captured)
15,Chess,wedge,24,10,0.510742,Partial Breach (8 escaped, 2 captured)
15,Chess,swarm,25,10,0.63502,Partial Breach (4 escaped, 6 captured)
15,Chess,swarm,26,10,0.634666,Partial Breach (5 escaped, 5 captured)
15,Chess,swarm,27,10,0.497476,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,28,10,0.543258,Partial Breach (4 escaped, 6 captured)
15,Chess,swarm,29,10,0.258196,Partial Breach (9 escaped, 1 captured)
15,Chess,swarm,30,10,0.421617,Partial Breach (8 escaped, 2 captured)
15,Chess,swarm,31,10,0.251034,Partial Breach (9 escaped, 1 captured)
15,Chess,swarm,32,10,0.663307,Partial Breach (4 escaped, 6 captured)
15,Chess,swarm,33,10,0.392801,Partial Breach (7 escaped, 3 captured)
15,Chess,swarm,34,10,0.162059,Partial Breach (9 escaped, 1 captured)
15,Chess,swarm,35,10,0.249808,Partial Breach (8 escaped, 2 captured)
15,Chess,swarm,36,10,0.605255,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,37,10,0.575796,Partial Breach (4 escaped, 6 captured)
15,Chess,swarm,38,10,0.573704,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,39,10,0.670179,Partial Breach (7 escaped, 3 captured)
15,Chess,swarm,40,10,0.594081,Partial Breach (2 escaped, 8 captured)
15,Chess,swarm,41,10,0.380196,Partial Breach (9 escaped, 1 captured)
15,Chess,swarm,42,10,0.510443,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,43,10,0.178866,Partial Breach (9 escaped, 1 captured)
15,Chess,swarm,44,10,0.667645,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,45,10,0.548197,Partial Breach (5 escaped, 5 captured)
15,Chess,swarm,46,10,0.5781,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,47,10,0.531199,Partial Breach (3 escaped, 7 captured)
15,Chess,swarm,48,10,0.573245,Partial Breach (6 escaped, 4 captured)
15,Chess,swarm,49,10,0.19554,Partial Breach (9 escaped, 1 captured)
15,Chess,stairs,50,10,0.473424,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,51,10,0.501592,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,52,10,0.523669,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,53,10,0.487832,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,54,10,0.429976,Partial Breach (6 escaped, 4 captured)
15,Chess,stairs,55,10,0.462152,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,56,10,0.493633,Partial Breach (9 escaped, 1 captured)
15,Chess,stairs,57,10,0.431825,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,58,10,0.479945,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,59,10,0.465224,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,60,10,0.38417,Partial Breach (5 escaped, 5 captured)
15,Chess,stairs,61,10,0.412814,Partial Breach (6 escaped, 4 captured)
15,Chess,stairs,62,10,0.490893,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,63,10,0.438009,Partial Breach (6 escaped, 4 captured)
15,Chess,stairs,64,10,0.404332,Partial Breach (6 escaped, 4 captured)
15,Chess,stairs,65,10,0.472474,Partial Breach (6 escaped, 4 captured)
15,Chess,stairs,66,10,0.428656,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,67,10,0.426316,Partial Breach (9 escaped, 1 captured)
15,Chess,stairs,68,10,0.453686,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,69,10,0.417053,Partial Breach (8 escaped, 2 captured)
15,Chess,stairs,70,10,0.432343,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,71,10,0.501225,Partial Breach (7 escaped, 3 captured)
15,Chess,stairs,72,10,0.489937,Partial Breach (9 escaped, 1 captured)
